INDMANTMANUAL[Descricao],INDMANTMANUAL[Simbolo],INDMANTMANUAL[Valor],INDMANTMANUAL[DtMovimento],INDMANTMANUAL[nomeEmpresa],INDMANTMANUAL[cod_empresa],Unnamed: 6
CAIEMF Leblon - Carros Aprovados MANT,CAIEML,19.0,2025-01-01,Leblon,1.0,
TIC Leblon Total de Itens conformes MANT,TICL,460.0,2025-03-01,Leblon,1.0,
TOPP Nobel - Total OE Prev. Parada MANT,TOPPN,4.0,2025-05-01,Nobel,2.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,22.0,2025-02-01,Leblon,1.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,12.0,2025-03-01,Leblon,1.0,
CAIEFO Nobel - Carros Analisados MANT,CAIEFN,3.0,2025-06-01,Nobel,2.0,
QVA Leblon - Qtd de Veículos Aprvd MANT,QVAL,7.0,2025-06-01,Leblon,1.0,
TO Leblon - Tp das Ords de Serviço MANT,TOL,1.0,2025-09-01,Leblon,1.0,
QVA Leblon - Qtd de Veículos Aprvd MANT,QVAL,3.0,2025-01-01,Leblon,1.0,
CDTDM Nobel - Cst de Teste Mant - MANT,CDTDMN,3795.97,2025-01-01,Nobel,2.0,
CAIEFO Nobel - Carros Analisados MANT,CAIEFN,1.0,2025-07-01,Nobel,2.0,
TIC Nobel Total de Itens conformes MANT,TICN,441.0,2025-04-01,Nobel,2.0,
OEMPP Nobel - OE Prev. Pendt MANT,OEMPPN,18.0,2025-01-01,Nobel,2.0,
CAIEFO Leblon - Carros Analisados MANT,CAIEFL,11.0,2025-07-01,Leblon,1.0,
QVA Nobel - Qtd de Veículos Aprvd MANT,QVAN,6.0,2025-01-01,Nobel,2.0,
OEMPP Nobel - OE Prev. Pendt MANT,OEMPPN,28.0,2025-03-01,Nobel,2.0,
OEMCP Leblon - OE de Manutenção MANT,OEMCPL,2.0,2025-01-01,Leblon,1.0,
QVV Leblon - Qtd de Veículos Visto MANT,QVVL,10.0,2025-03-01,Leblon,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,9.0,0.0
,,,,,10.0,14.0
,,,,,14.0,14.0
